[BACKTEST] Starting for BTC-USD on 15m...
[HURST] RANDOM_WALK | R/S=0.581 DFA=0.507 Mean=0.544 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.567 DFA=0.536 Mean=0.552 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.603 DFA=0.585 Mean=0.594 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.642 DFA=0.571 Mean=0.607 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.617 DFA=0.620 Mean=0.618 Stable=true
[REGIME] TRENDING | Heuristic Score=4.2% | Actionable=false
[HURST] TRENDING | R/S=0.637 DFA=0.605 Mean=0.621 Stable=true
[REGIME] TRENDING | Heuristic Score=5.4% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.579 Mean=0.612 Stable=true
[REGIME] TRENDING | Heuristic Score=1.1% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.581 DFA=0.481 Mean=0.531 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.555 DFA=0.580 Mean=0.568 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.517 DFA=0.444 Mean=0.480 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.469 Mean=0.510 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.575 DFA=0.511 Mean=0.543 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.563 DFA=0.493 Mean=0.528 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.533 DFA=0.449 Mean=0.491 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.593 DFA=0.575 Mean=0.584 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.557 DFA=0.472 Mean=0.514 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.629 DFA=0.464 Mean=0.547 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.601 DFA=0.517 Mean=0.559 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.555 DFA=0.531 Mean=0.543 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.591 DFA=0.554 Mean=0.573 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.510 DFA=0.404 Mean=0.457 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.528 DFA=0.416 Mean=0.472 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.481 DFA=0.476 Mean=0.478 Stable=true
